Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Parsed Price,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Tesla,Model Y,Single Electric Motor (RWD),75 kWh,346 hp,217 km/h,5.0 sec,"$47,490 ",Electric,5,498 Nm,47.0,Tesla Model 3,Kia EV6 AWD GT-Line,Tesla Model 3 Performance,Kia EV6 First Edition,Tesla Model S Plaid
Tesla,Model Y Long Range,Dual Electric Motors (AWD),82 kWh,384 hp,217 km/h,4.8 sec,"$50,490 ",Electric,5,559 Nm,50.0,Tesla Model 3 Performance,Tesla Model S,Tesla Model S Plaid,Tesla Model 3,Tesla Model X
Tesla,Cybertruck,Tri Electric Motors,200 kWh,800 hp,209 km/h,2.9 sec,"$69,900 ",Electric,6,"1,355 Nm",69.0,Tesla Model X Plaid,Tesla Model S Plaid,Tesla Model Y Long Range,Tesla Model 3,Tesla Roadster 2
Tesla,Roadster 2,Quad Electric Motors,200 kWh,"1,288 hp",402 km/h,1.9 sec,"$200,000 ",Electric,4,"10,000 Nm",200.0,Porsche Taycan Sport Turismo GTS,Tesla Model 3 Performance,Porsche Taycan,Mitsubishi i-MiEV (Electric),Porsche Taycan 4S
Jeep,Wrangler,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,180 km/h,6.8 sec,"$35,195 ",Petrol,4,353 Nm,35.0,Jeep Gladiator,Jeep Gladiator Mojave Edition,Jeep Grand Cherokee,Nissan Silvia S13,Jeep Wrangler 392
Jeep,Wrangler Rubicon,2.0L Turbo I4 Gasoline,2000 cc,270 hp,180 km/h,7.1 sec,"$42,100 ",Petrol,4,400 Nm,42.0,BMW 430i COUPE,Chevrolet Camaro,Jeep Wrangler,Nissan Infiniti Q60*,Volkswagen Scirocco 16V
Jeep,Grand Cherokee,3.6L V6 Pentastar Gasoline,3600 cc,293 hp,209 km/h,7.0 sec,"$41,530 ",Petrol,5,352 Nm,41.0,Jeep Grand Cherokee L,Jeep Gladiator,Jeep Gladiator Mojave Edition,Jeep Cherokee,Nissan Titan Warrior
Jeep,Grand Cherokee L,3.6L V6 Pentastar Gasoline,3600 cc,293 hp,209 km/h,7.2 sec,"$43,530 ",Petrol,7,352 Nm,43.0,Jeep Grand Cherokee,Mazda CX-9,Jeep Gladiator Mojave Edition,Nissan Pathfinder Rock Creek Edition,Jeep Gladiator
Jeep,Cherokee,2.4L I4 Tigershark Gasoline,2400 cc,180 hp,195 km/h,8.5 sec,"$37,695 ",Petrol,5,230 Nm,37.0,Mazda Xedos 6,Peugeot 308 Allure,Peugeot 2008 Allure,BMW 118i SPORTLINE,TOYOTA CELICA
Jeep,Compass,2.0L Turbo Gasoline,2000 cc,200 hp,200 km/h,7.8 sec,"$31,590 ",Petrol,5,320 Nm,31.0,Volkswagen Golf Variant Alltrack,Volkswagen Passat,Volkswagen Golf Variant,Jeep Grand Cherokee,HYUNDAI Elantra GT
Jeep,Renegade,1.3L Turbo I4 Gasoline,1300 cc,177 hp,200 km/h,8.7 sec,"$28,345 ",Petrol,5,285 Nm,28.0,Mazda CX-30,Jeep Grand Cherokee,Jeep Cherokee,Jeep Compass,Jeep Jeep Cherokee X Edition
Jeep,Gladiator,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,177 km/h,8.1 sec,"$38,775 ",Petrol,5,353 Nm,38.0,Jeep Gladiator Mojave Edition,Jeep Grand Cherokee,Jeep Wrangler,KIA SPORTAGE 2024(X-PRO PRESTIGE),Chevrolet Malibu Premier
Jeep,Wagoneer,5.7L V8 Gasoline with eTorque,5700 cc,392 hp,190 km/h,7.4 sec,"$63,595 ",Petrol,8,548 Nm,63.0,GMC Yukon XL Elevation,GMC Yukon,Chevrolet Tahoe LT,Jeep Grand Wagoneer,GMC Sierra 1500 AT4
Jeep,Grand Wagoneer,6.4L V8 Gasoline,6400 cc,471 hp,190 km/h,6.0 sec,"$91,495 ",Petrol,8,617 Nm,91.0,GMC Yukon Denali Performance,Jeep Wagoneer,GMC Yukon Denali Ultimate Black,Volkswagen Scirocco,Jaguar Land Rover Jaguar XJ
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,17.3 kWh,375 hp,210 km/h,6.0 sec,"$59,865 ",Hybrid,5,637 Nm,59.0,Jeep Wrangler 4xe,Jeep Compass 4xe,Peugeot 3008 Hybrid4,Peugeot 3008 GT Hybrid,Jeep Renegade 4xe
Jeep,Wrangler 4xe,2.0L Turbo PHEV,17.3 kWh,375 hp,180 km/h,6.4 sec,"$50,695 ",Hybrid,5,637 Nm,50.0,Jeep Grand Cherokee 4xe,Jeep Renegade 4xe,Jeep Compass 4xe,Kia Niro SX Hybrid,Ford Maverick Hybrid
Jeep,Compass 4xe,1.3L Turbo PHEV,11.4 kWh,240 hp,200 km/h,7.3 sec,"$46,500 ",Hybrid,5,270 Nm,46.0,Jeep Renegade 4xe,Jeep Grand Cherokee 4xe,Nissan Qashqai Tekna,Jeep Wrangler 4xe,Jeep Grand Cherokee Summit Reserve
Jeep,Renegade 4xe,1.3L Turbo PHEV,11.4 kWh,240 hp,200 km/h,7.5 sec,"$44,500 ",Hybrid,5,270 Nm,44.0,Jeep Compass 4xe,TOYOTA VENZA,Ford Escape Plug-in Hybrid (2024),Peugeot 508 Plug-In Hybrid,Jeep Wrangler 4xe
Mazda,Mazda2,1.5L 4-Cylinder,"1,500 cc",108 hp,180 km/h,10.2 sec,"$17,000-$20,000",Petrol,5,142 Nm,17.0,Mazda Demio,Mazda CX-4,Mazda CX-7,Volkswagen T-Cross,Mazda Capella
Jeep,Wagoneer S (Electric),Dual Electric Motors,100 kWh,600 hp,177 km/h,4.5 sec,"$80,000 ",Electric,5,850 Nm,80.0,Cadillac Lyriq EV Premium,Porsche Taycan Sport Turismo,Porsche Macan EV ,Nissan Ariya Premiere,Porsche Taycan Turbo
Jeep,Gladiator Mojave Edition,3.6L V6 Pentastar Gasoline,3600 cc,285 hp,177 km/h,8.6 sec,"$51,570 ",Petrol,5,353 Nm,51.0,Jeep Gladiator,Jeep Wrangler,Jeep Grand Cherokee,GMC Canyon SLT,Jeep Compass
Jeep,Grand Cherokee Summit Reserve,5.7L V8 Gasoline,5700 cc,357 hp,190 km/h,7.3 sec,"$66,575 ",Petrol,5,529 Nm,66.0,Jeep Grand Cherokee,Jeep Gladiator Mojave Edition,NISSAN ALTIMA,Jeep Cherokee,Jeep Compass
Jeep,Jeep Cherokee X Edition,3.2L V6 Pentastar Gasoline,3200 cc,271 hp,195 km/h,7.6 sec,"$41,295 ",Petrol,5,324 Nm,41.0,GMC Canyon,Jeep Grand Cherokee,Cadillac XT4,Jeep Grand Cherokee Summit Reserve,Jeep Gladiator Mojave Edition
Jeep,Wrangler 392,6.4L V8 HEMI Gasoline,6400 cc,470 hp,160 km/h,4.5 sec,"$82,495 ",Petrol,4,637 Nm,82.0,ROLLS ROYCE WRAITH KRYPTOS,ROLLS ROYCE WRAITH EAGLE VIII,Jeep Wrangler Rubicon,Ford Mustang (2024),Jeep Wrangler
Cadillac,XT4,2.0L Turbo Inline-4 Gasoline,2000 cc,235 hp,220 km/h,7.6 sec,"$37,490 ",Petrol,5,350 Nm,37.0,Cadillac XT4 Sport,Cadillac CT5,Cadillac CT4,Cadillac CT5 Premium Luxury,GMC Canyon
Cadillac,XT5,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.5 sec,"$44,195 ",Petrol,5,366 Nm,44.0,Cadillac XT5 Sport,Chevrolet Blazer Premier,Chevrolet Blazer RS,Chevrolet Blazer,Cadillac XT6 Sport
Cadillac,XT6,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.9 sec,"$48,595 ",Petrol,7,366 Nm,48.0,Cadillac XT6 Sport,Cadillac XT5,Cadillac XT5 Sport,Cadillac Escalade ESV,Cadillac Escalade V
Cadillac,Lyriq EV,Single Electric Motor,100 kWh,340 hp,190 km/h,5.7 sec,"$58,590 ",Electric,5,440 Nm,58.0,Cadillac Lyriq Launch Edition,Chevrolet Bolt EUV,Tata Motors Tiago EV,Cadillac Lyriq EV Premium,Chevrolet Bolt EV Premier
Cadillac,Escalade V,6.2L Supercharged V8 Gasoline,6200 cc,682 hp,200 km/h,4.4 sec,"$149,990 ",Petrol,7,885 Nm,149.0,Cadillac XT6,Cadillac XT6 Sport,Cadillac CT5-V Blackwing,Cadillac Escalade Platinum,Cadillac Escalade
Cadillac,Escalade Platinum,6.2L V8 Gasoline,6200 cc,420 hp,210 km/h,6.8 sec,"$104,595 ",Petrol,7,624 Nm,104.0,Cadillac Escalade,Chevrolet Tahoe Premier,Cadillac Escalade ESV,Chevrolet Tahoe Sport Edition,GMC Yukon Denali
Cadillac,CT5-V Blackwing,6.2L Supercharged V8 Gasoline,6200 cc,668 hp,320 km/h,3.4 sec,"$92,000 ",Petrol,5,893 Nm,92.0,Cadillac Escalade V,Cadillac XT4 Sport,Cadillac CT4,Cadillac CT4-V,Cadillac CT5
Cadillac,CT4-V Blackwing,3.6L Twin-Turbo V6 Gasoline,3600 cc,472 hp,290 km/h,3.9 sec,"$60,495 ",Petrol,5,603 Nm,60.0,Cadillac XT4,Cadillac CT5-V Blackwing,Cadillac XT5,Cadillac CT5 Premium Luxury,Cadillac CT5-V
Cadillac,XT4 Sport,2.0L Turbo Inline-4 Gasoline,2000 cc,235 hp,220 km/h,7.4 sec,"$41,390 ",Petrol,5,350 Nm,41.0,Cadillac CT4,Cadillac CT5,Cadillac CT5 Premium Luxury,Cadillac XT4,Cadillac CT4-V Blackwing
Cadillac,XT5 Sport,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.5 sec,"$51,095 ",Petrol,5,366 Nm,51.0,Cadillac XT5,Chevrolet Blazer Premier,Chevrolet Blazer RS,Chevrolet Blazer,Cadillac XT6 Sport
Cadillac,XT6 Sport,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,6.9 sec,"$57,095 ",Petrol,7,366 Nm,57.0,Cadillac XT6,Cadillac XT5,Cadillac Escalade ESV,Cadillac XT5 Sport,Chevrolet Traverse
Cadillac,Lyriq Launch Edition,Single Electric Motor,100 kWh,340 hp,190 km/h,5.7 sec,"$59,990 ",Electric,5,440 Nm,59.0,Cadillac Lyriq EV,Chevrolet Bolt EUV,Tata Motors Tiago EV,Cadillac Lyriq EV Premium,Chevrolet Bolt EV Premier
Cadillac,Lyriq EV Premium,Dual Electric Motors,100 kWh,500 hp,210 km/h,4.5 sec,"$64,990 ",Electric,5,620 Nm,64.0,Jeep Wagoneer S (Electric),Porsche Taycan Sport Turismo GTS,Jaguar Land Rover Jaguar I-PACE EV400 HSE,Porsche Cayenne GTS,GMC Sierra EV Denali
Cadillac,CT5 Premium Luxury,2.0L Turbo Inline-4 Gasoline,2000 cc,237 hp,240 km/h,6.8 sec,"$41,290 ",Petrol,5,350 Nm,41.0,Cadillac XT4 Sport,Cadillac CT4,Cadillac CT5,Cadillac XT4,KIA SPORTAGE GT-LINE
Chevrolet,Spark,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,10.7 sec,"$14,595 ",Petrol,5,127 Nm,14.0,Chevrolet Spark LS,Chevrolet Spark Activ,Chevrolet Equinox Premier,Nissan Pulsar,Chevrolet Sonic
Chevrolet,Sonic,1.4L Turbo Inline-4 Gasoline,1400 cc,138 hp,190 km/h,8.5 sec,"$16,720 ",Petrol,5,200 Nm,16.0,Chevrolet Malibu LT,KIA   SPORTAGE 2024(BASE FWD),Chevrolet Colorado,Volkswagen T-Cross R-Line,BMW 118i SHADOW LINE
Chevrolet,Malibu,1.5L Turbo Inline-4 Gasoline,1500 cc,160 hp,210 km/h,8.0 sec,"$25,000 ",Petrol,5,250 Nm,25.0,Chevrolet Malibu LT,Chevrolet Equinox LT,KIA SPORTAGE 2024(BASE MODEL),Peugeot 508 Allure,KIA SPORTAGE LX
Chevrolet,Camaro,2.0L Turbo Inline-4 Gasoline,2000 cc,275 hp,240 km/h,5.4 sec,"$26,400 ",Petrol,4,400 Nm,26.0,Chevrolet Camaro ZL1,Nissan Infiniti Q60*,Chevrolet Malibu Premier,Porsche Panamera Platinum Edition,Jeep Wrangler Rubicon
Chevrolet,Corvette,6.2L V8 Gasoline,6200 cc,495 hp,312 km/h,3.0 sec,"$65,895 ",Petrol,2,637 Nm,65.0,Chevrolet Corvette Stingray,Chevrolet Corvette Grand Sport,LAMBORGHINI HURACAN STO EVO,Chevrolet Tahoe Sport Edition,Chevrolet Camaro SS
Chevrolet,Traverse,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$35,915 ",Petrol,7,360 Nm,35.0,Chevrolet Traverse Premier,Chevrolet Traverse RS,Chevrolet Traverse LT,Cadillac XT6,Chevrolet Blazer
Chevrolet,Equinox,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.9 sec,"$26,600 ",Petrol,5,275 Nm,26.0,Chevrolet Equinox LT,Chevrolet Equinox RS,Chevrolet Equinox Premier,Chevrolet Malibu,Chevrolet Malibu LT
Chevrolet,Blazer,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$44,000 ",Petrol,5,366 Nm,44.0,Chevrolet Blazer RS,Chevrolet Blazer Premier,Cadillac XT5 Sport,Cadillac XT5,Chevrolet Malibu Premier
Chevrolet,Tahoe,5.3L V8 Gasoline,5300 cc,355 hp,200 km/h,7.5 sec,"$56,995 ",Petrol,7,519 Nm,56.0,Chevrolet Tahoe Midnight Edition,Chevrolet Tahoe Z71,Chevrolet Tahoe RST,Chevrolet Tahoe RST,Chevrolet Tahoe LS
Chevrolet,Suburban,5.3L V8 Gasoline,5300 cc,355 hp,190 km/h,7.6 sec,"$59,900 ",Petrol,8,519 Nm,59.0,Chevrolet Suburban LT,Chevrolet Tahoe LS,Chevrolet Tahoe Midnight Edition,Chevrolet Tahoe LT,Chevrolet Tahoe Z71
Chevrolet,Colorado,2.7L Turbo Inline-4 Gasoline,2700 cc,310 hp,190 km/h,6.8 sec,"$30,695 ",Petrol,5,583 Nm,30.0,Chevrolet Colorado WT,Chevrolet Spark,GMC Canyon Denali,Chevrolet Malibu Premier,Chevrolet Trailblazer
Chevrolet,Silverado 1500,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$42,795 ",Petrol,6,519 Nm,42.0,Chevrolet Silverado 1500 Trail Boss,Chevrolet Silverado 1500 High Country,Chevrolet Silverado 1500 RST,GMC Sierra 1500,Chevrolet Tahoe RST
Chevrolet,Silverado 2500HD,6.6L V8 Gasoline,6600 cc,401 hp,170 km/h,8.0 sec,"$41,500 ",Petrol,6,629 Nm,41.0,Chevrolet Silverado Custom,Chevrolet Malibu,Chevrolet Silverado 1500 RST,Chevrolet Silverado 1500 Trail Boss,Chevrolet Silverado 1500 High Country
Chevrolet,Silverado 3500HD,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.5 sec,"$45,500 ",Diesel,6,1234 Nm,45.0,Chevrolet Silverado 3500HD High Country,Chevrolet Silverado 2500HD LTZ,GMC Sierra 2500HD Denali,GMC Sierra 3500HD,Chevrolet Silverado Custom
Chevrolet,Bolt EV,Single Electric Motor,66 kWh,200 hp,150 km/h,6.5 sec,"$27,495 ",Electric,5,360 Nm,27.0,Chevrolet Bolt EV Premier,Chevrolet Bolt EUV,Chevrolet Bolt EV 2LT,Cadillac Lyriq Launch Edition,Cadillac Lyriq EV
Chevrolet,Bolt EUV,Single Electric Motor,66 kWh,200 hp,150 km/h,7.0 sec,"$28,795 ",Electric,5,360 Nm,28.0,Chevrolet Bolt EV 2LT,Chevrolet Bolt EV,Chevrolet Bolt EV Premier,Peugeot 3008 Plug-In Hybrid,Cadillac Lyriq EV
Chevrolet,Trailblazer,1.3L Turbo Inline-3 Gasoline,1300 cc,155 hp,200 km/h,9.4 sec,"$23,100 ",Petrol,5,236 Nm,23.0,Chevrolet Spark LS,Volkswagen Bora,GMC Terrain SLT,Chevrolet Spark,Chevrolet Sonic
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 hp,240 km/h,5.8 sec,"$33,500 ",Petrol,5,353 Nm,33.0,Chevrolet Malibu Premier,Chevrolet Spark LS,Chevrolet Camaro,Cadillac CT4,Cadillac CT5
Chevrolet,Camaro ZL1,6.2L Supercharged V8 Gasoline,6200 cc,650 hp,318 km/h,3.5 sec,"$67,300 ",Petrol,4,881 Nm,67.0,Chevrolet Camaro SS,Porsche 911 Targa 4 GTS,Chevrolet Camaro,Porsche 911 Dakar Sport,Nissan 200SX
Chevrolet,Corvette Stingray,6.2L V8 Gasoline,6200 cc,495 hp,312 km/h,3.0 sec,"$65,895 ",Petrol,2,637 Nm,65.0,Chevrolet Corvette,Chevrolet Corvette Grand Sport,Chevrolet Tahoe High Country,LAMBORGHINI HURACAN STO,Chevrolet Tahoe Sport Edition
Chevrolet,Silverado 1500 High Country,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$61,595 ",Petrol,6,519 Nm,61.0,Chevrolet Silverado 1500 Trail Boss,Chevrolet Silverado 1500,Chevrolet Silverado 1500 RST,Chevrolet Suburban,GMC Sierra 1500
Chevrolet,Silverado 1500 Trail Boss,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$55,895 ",Petrol,6,519 Nm,55.0,Chevrolet Silverado 1500 High Country,Chevrolet Silverado 1500,Chevrolet Silverado 1500 RST,Chevrolet Suburban,GMC Sierra 1500
Chevrolet,Silverado 1500 RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.1 sec,"$50,895 ",Petrol,6,519 Nm,50.0,Chevrolet Silverado 1500,Chevrolet Silverado 1500 Trail Boss,Chevrolet Silverado 1500 High Country,Chevrolet Tahoe RST,Chevrolet Tahoe LT
Chevrolet,Colorado ZR2,2.8L Turbo Diesel I4,2800 cc,181 hp,160 km/h,9.1 sec,"$48,295 ",Diesel,5,500 Nm,48.0,TOYOTA HILUX REVO ROCCO,Ford Ranger (2024),Cadillac CT4-V,MERCEDES BENZ A-CLASS A 45 S,MERCEDES BENZ E-CLASS E 350
Chevrolet,Traverse Premier,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$46,600 ",Petrol,7,360 Nm,46.0,Chevrolet Traverse,Chevrolet Traverse RS,Chevrolet Traverse LT,Chevrolet Suburban High Country,Chevrolet Silverado 1500 Trail Boss
Chevrolet,Equinox Premier,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.8 sec,"$33,400 ",Petrol,5,275 Nm,33.0,Chevrolet Equinox RS,Chevrolet Equinox LT,Chevrolet Equinox,Chevrolet Malibu,Chevrolet Malibu LT
Chevrolet,Blazer RS,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$48,900 ",Petrol,5,366 Nm,48.0,Chevrolet Blazer,Chevrolet Blazer Premier,Cadillac XT5 Sport,Cadillac XT5,Chevrolet Malibu Premier
Chevrolet,Bolt EV 2LT,Single Electric Motor,66 kWh,200 hp,150 km/h,6.7 sec,"$28,795 ",Electric,5,360 Nm,28.0,Chevrolet Bolt EV,Chevrolet Bolt EUV,Chevrolet Bolt EV Premier,Cadillac Lyriq Launch Edition,Cadillac Lyriq EV
Chevrolet,Camaro SS,6.2L V8 Gasoline,6200 cc,455 hp,290 km/h,4.3 sec,"$43,500 ",Petrol,4,617 Nm,43.0,Ford Mustang,Chevrolet Corvette Grand Sport,Chevrolet Camaro ZL1,Chevrolet Tahoe Premier,Chevrolet Camaro
Chevrolet,Corvette Grand Sport,6.2L V8 Gasoline,6200 cc,460 hp,290 km/h,3.9 sec,"$65,900 ",Petrol,2,630 Nm,65.0,Chevrolet Corvette,Chevrolet Corvette Stingray,Chevrolet Suburban High Country,Jaguar Land Rover Jaguar F-Type Heritage Edition,Chevrolet Camaro SS
Chevrolet,Traverse RS,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$43,700 ",Petrol,7,360 Nm,43.0,Chevrolet Traverse Premier,Chevrolet Traverse,Chevrolet Traverse LT,Chevrolet Tahoe RST,Chevrolet Blazer
Chevrolet,Blazer Premier,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$45,000 ",Petrol,5,366 Nm,45.0,Chevrolet Blazer RS,Chevrolet Blazer,Cadillac XT5 Sport,Cadillac XT5,Chevrolet Malibu
Chevrolet,Malibu LT,1.5L Turbo Inline-4 Gasoline,1500 cc,160 hp,210 km/h,8.5 sec,"$25,800 ",Petrol,5,250 Nm,25.0,Chevrolet Malibu,Chevrolet Equinox,Chevrolet Equinox Premier,Volkswagen T-Cross R-Line,Volkswagen Jetta SportWagen
Chevrolet,Spark Activ,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,11.0 sec,"$17,595 ",Petrol,5,127 Nm,17.0,Chevrolet Spark LS,Chevrolet Spark,Chevrolet Equinox LT,Chevrolet Equinox,Chevrolet Malibu Premier
Chevrolet,Trax LT,1.2L Turbo Inline-3 Gasoline,1200 cc,137 hp,200 km/h,9.2 sec,"$24,100 ",Petrol,5,220 Nm,24.0,Chevrolet Spark LS,Chevrolet Blazer,Kia Forte Limited Edition,Kia Seltos LX,Kia Forte EX Premium
Chevrolet,Equinox LT,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.9 sec,"$28,400 ",Petrol,5,275 Nm,28.0,Chevrolet Equinox,Chevrolet Equinox Premier,Chevrolet Equinox RS,Chevrolet Malibu,Chevrolet Malibu LT
Chevrolet,Silverado 3500HD High Country,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.5 sec,"$75,700 ",Diesel,6,1234 Nm,75.0,Chevrolet Silverado 3500HD,Chevrolet Silverado 2500HD LTZ,GMC Sierra 3500HD,GMC Sierra 2500HD Denali,GMC Sierra 2500HD
Chevrolet,Colorado WT,2.7L Turbo Inline-4 Gasoline,2700 cc,310 hp,190 km/h,6.9 sec,"$29,200 ",Petrol,5,583 Nm,29.0,Chevrolet Colorado,GMC Canyon,Chevrolet Spark,Chevrolet Sonic,GMC Canyon Denali Black Edition
Chevrolet,Suburban High Country,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,7.0 sec,"$82,400 ",Petrol,8,624 Nm,82.0,GMC Yukon XL,GMC Yukon XL Denali Ultimate,Chevrolet Tahoe Premier,Chevrolet Tahoe High Country,GMC Yukon Denali
Chevrolet,Silverado Custom,4.3L V6 Gasoline,4300 cc,285 hp,180 km/h,8.5 sec,"$33,900 ",Petrol,6,413 Nm,33.0,Chevrolet Silverado 1500 Custom,Chevrolet Silverado 1500 Trail Boss,Chevrolet Silverado 1500,Chevrolet Silverado 1500 RST,Chevrolet Sonic
Chevrolet,Spark LS,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,10.9 sec,"$14,395 ",Petrol,5,127 Nm,14.0,Chevrolet Spark Activ,Chevrolet Spark,Chevrolet Blazer LT,Chevrolet Equinox Premier,Chevrolet Malibu
Chevrolet,Traverse LT,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.1 sec,"$37,200 ",Petrol,7,360 Nm,37.0,Chevrolet Traverse RS,Chevrolet Traverse,Chevrolet Traverse Premier,Cadillac XT6 Sport,Chevrolet Tahoe Z71
Chevrolet,Blazer LT,2.5L Inline-4 Gasoline,2500 cc,193 hp,200 km/h,9.0 sec,"$36,100 ",Petrol,5,255 Nm,36.0,Chevrolet Spark LS,Chevrolet Equinox,Peugeot 2008,Nissan Rogue Sport SL,Mazda Sentia
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 hp,240 km/h,5.8 sec,"$34,500 ",Petrol,5,353 Nm,34.0,Chevrolet Malibu Premier,Chevrolet Equinox LT,NISSAN MAXIMA,Cadillac CT4,Chevrolet Colorado
Chevrolet,Equinox RS,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.8 sec,"$31,900 ",Petrol,5,275 Nm,31.0,Chevrolet Equinox Premier,Chevrolet Equinox LT,Chevrolet Equinox,Chevrolet Malibu LT,Chevrolet Malibu
Chevrolet,Silverado 1500 Custom,4.3L V6 Gasoline,4300 cc,285 hp,180 km/h,8.6 sec,"$34,900 ",Petrol,6,413 Nm,34.0,Chevrolet Silverado Custom,Chevrolet Silverado 2500HD,Chevrolet Silverado 1500,Chevrolet Silverado 1500 High Country,Chevrolet Silverado 1500 RST
Chevrolet,Silverado 2500HD LTZ,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.4 sec,"$56,400 ",Diesel,6,1234 Nm,56.0,Chevrolet Silverado 3500HD High Country,Chevrolet Silverado 3500HD,GMC Sierra 3500HD,GMC Sierra 2500HD Denali,GMC Sierra 2500HD
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.4 sec,"$64,100 ",Petrol,7,519 Nm,64.0,Chevrolet Tahoe RST,Chevrolet Tahoe Z71,Chevrolet Tahoe LT,Chevrolet Tahoe,Chevrolet Silverado 1500 RST
Chevrolet,Suburban LT,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,5.1 sec,"$64,400 ",Petrol,8,519 Nm,64.0,Chevrolet Tahoe LT,Chevrolet Tahoe LS,Chevrolet Suburban,Chevrolet Tahoe Midnight Edition,Chevrolet Silverado 1500 RST
Chevrolet,Bolt EV Premier,Single Electric Motor,66 kWh,200 hp,150 km/h,6.5 sec,"$31,700 ",Electric,5,360 Nm,31.0,Chevrolet Bolt EV,Chevrolet Bolt EUV,Chevrolet Bolt EV 2LT,Cadillac Lyriq Launch Edition,Cadillac Lyriq EV
Chevrolet,Tahoe LS,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.5 sec,"$56,995 ",Petrol,8,519 Nm,56.0,Chevrolet Tahoe Midnight Edition,Chevrolet Suburban LT,Chevrolet Suburban,Chevrolet Tahoe,Chevrolet Tahoe LT
Chevrolet,Tahoe LT,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.4 sec,"$62,495 ",Petrol,8,519 Nm,62.0,GMC Yukon,Chevrolet Tahoe LS,Chevrolet Suburban LT,Chevrolet Tahoe RST,Chevrolet Tahoe Midnight Edition
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.4 sec,"$64,100 ",Petrol,7,519 Nm,64.0,Chevrolet Tahoe RST,Chevrolet Tahoe,Chevrolet Tahoe LT,Chevrolet Tahoe Z71,Chevrolet Silverado 1500
Chevrolet,Tahoe Z71,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.6 sec,"$66,700 ",Petrol,7,519 Nm,66.0,Chevrolet Tahoe,Chevrolet Tahoe RST,Chevrolet Tahoe RST,Chevrolet Suburban,Chevrolet Silverado 1500 High Country
Chevrolet,Tahoe Premier,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,6.8 sec,"$71,600 ",Petrol,7,624 Nm,71.0,Chevrolet Tahoe Sport Edition,Cadillac Escalade Platinum,Chevrolet Tahoe High Country,Cadillac Escalade,Chevrolet Suburban High Country
Chevrolet,Tahoe High Country,6.2L V8 Gasoline,6200 cc,420 hp,200 km/h,6.7 sec,"$76,700 ",Petrol,7,624 Nm,76.0,Chevrolet Tahoe Sport Edition,Chevrolet Tahoe Premier,Cadillac Escalade,Cadillac Escalade ESV,GMC Sierra Denali
